epoch,accuracy,loss,val_accuracy,val_loss
0,0.8185053467750549,0.6331151127815247,0.7892031073570251,0.7642048597335815
1,0.8046875,0.7122222185134888,0.789968729019165,0.7639495730400085
2,0.8033807873725891,0.7090481519699097,0.7903749942779541,0.7605053186416626
3,0.8090277910232544,0.7018366456031799,0.790765643119812,0.7633916139602661
4,0.7989323735237122,0.6821969747543335,0.7918437719345093,0.7591401934623718
5,0.8149465918540955,0.6991708874702454,0.7906562685966492,0.764930784702301
6,0.8072916865348816,0.6697133779525757,0.7896406054496765,0.7626153230667114
7,0.8078292012214661,0.6987689733505249,0.7938281297683716,0.7525337934494019
8,0.8055555820465088,0.6839745044708252,0.7920156121253967,0.7575222849845886
9,0.7953736782073975,0.7848423719406128,0.7903281450271606,0.7624655365943909
10,0.8168402910232544,0.6438953876495361,0.7900468707084656,0.76458740234375
