epoch,accuracy,loss,val_accuracy,val_loss
0,0.7410500049591064,0.9904398322105408,0.751249372959137,0.9344774484634399
1,0.7517250180244446,0.9390639662742615,0.7568559646606445,0.9064754247665405
2,0.7572749853134155,0.9078568816184998,0.7614864706993103,0.889362633228302
3,0.7609599828720093,0.895543098449707,0.7640398740768433,0.8771920204162598
4,0.7644150257110596,0.8825570940971375,0.7660544514656067,0.8687480092048645
5,0.7635949850082397,0.882239818572998,0.7671710848808289,0.8612964153289795
6,0.7677299976348877,0.8690721988677979,0.7689046263694763,0.8553258776664734
7,0.7694299817085266,0.8601473569869995,0.7703570127487183,0.8499507904052734
8,0.7715449929237366,0.8510817289352417,0.7712628245353699,0.8444052338600159
9,0.7696999907493591,0.8504428863525391,0.772527813911438,0.8408021926879883
