epoch,accuracy,loss,val_accuracy,val_loss
0,0.8203125,0.6659444570541382,0.7890781164169312,0.763542652130127
1,0.8024911284446716,0.6945620775222778,0.7900781035423279,0.7610811591148376
2,0.7953736782073975,0.7008153796195984,0.7922968864440918,0.7562400698661804
3,0.8107638955116272,0.7027795314788818,0.7887343764305115,0.7687345743179321
4,0.8131672739982605,0.6907550096511841,0.7902812361717224,0.7589675784111023
5,0.8220486044883728,0.6216078996658325,0.7905625104904175,0.7537246942520142
6,0.8185763955116272,0.691983163356781,0.7908437252044678,0.7628181576728821
7,0.8064236044883728,0.7491750121116638,0.7916874885559082,0.7551952600479126
8,0.8229537606239319,0.6572372317314148,0.792312502861023,0.7509639263153076
9,0.809608519077301,0.6459851861000061,0.7915937304496765,0.7570750713348389
10,0.7777777910232544,0.7614673376083374,0.7882187366485596,0.7670667767524719
11,0.8131672739982605,0.6936254501342773,0.7915156483650208,0.7533878684043884
