epoch,accuracy,loss,val_accuracy,val_loss
0,0.7919999957084656,0.7491695880889893,0.7901830077171326,0.7577874064445496
1,0.80843585729599,0.7242843508720398,0.7906671762466431,0.7568134665489197
2,0.8053602576255798,0.6916521191596985,0.790706217288971,0.7572187781333923
3,0.8224955797195435,0.6362150311470032,0.7905656695365906,0.7571721076965332
4,0.8101933002471924,0.6939195394515991,0.7905344367027283,0.756611704826355
5,0.8154657483100891,0.7025831341743469,0.790870189666748,0.7566403746604919
6,0.8036028146743774,0.7175391316413879,0.7906984090805054,0.7555506825447083
7,0.8093146085739136,0.7210290431976318,0.791018545627594,0.7546235918998718
8,0.8079965114593506,0.6728518009185791,0.7904797792434692,0.7562302947044373
9,0.8115113973617554,0.676591694355011,0.7915183305740356,0.7553063035011292
10,0.8036028146743774,0.7430450320243835,0.7903938889503479,0.7561706900596619
11,0.807117760181427,0.6872915029525757,0.7909404635429382,0.756612241268158
