epoch,accuracy,loss,val_accuracy,val_loss
0,0.740090012550354,0.9871060252189636,0.7510619759559631,0.9340002536773682
1,0.7505850195884705,0.939400851726532,0.7577382922172546,0.9057779908180237
2,0.7564499974250793,0.914887011051178,0.7611662745475769,0.8890855312347412
3,0.7594199776649475,0.9004610180854797,0.763680636882782,0.8786424398422241
4,0.764045000076294,0.884253203868866,0.7655000686645508,0.8692566156387329
5,0.7642999887466431,0.882574737071991,0.7679831981658936,0.8609932661056519
6,0.7659850120544434,0.8704618215560913,0.7681940197944641,0.8557909727096558
7,0.7690449953079224,0.8603852391242981,0.7695214748382568,0.8504481911659241
8,0.771619975566864,0.8514995574951172,0.7718172073364258,0.8441448211669922
9,0.7722349762916565,0.847645103931427,0.7717547416687012,0.8409306406974792
10,0.7734450101852417,0.8415157198905945,0.7735038995742798,0.8359471559524536
11,0.7753400206565857,0.8316732048988342,0.7744252681732178,0.8323656320571899
12,0.7748649716377258,0.8332189917564392,0.773831844329834,0.8301042914390564
13,0.7752649784088135,0.8286275267601013,0.7750187516212463,0.8258655667304993
14,0.7765949964523315,0.829525887966156,0.7753701210021973,0.8227179646492004
15,0.7784649729728699,0.8182927966117859,0.7766663432121277,0.8199219107627869
16,0.7785249948501587,0.8133323192596436,0.7770958542823792,0.8179218769073486
17,0.7787100076675415,0.8173146843910217,0.7776580452919006,0.8158729672431946
18,0.7802199721336365,0.8127831220626831,0.7775487303733826,0.8128551244735718
19,0.7802150249481201,0.8068815469741821,0.7785013914108276,0.8107306361198425
