epoch,accuracy,loss,val_accuracy,val_loss
0,0.7949380278587341,0.7304056882858276,0.7898941040039062,0.7591537237167358
1,0.811072051525116,0.7023868560791016,0.7901361584663391,0.7573273777961731
2,0.811072051525116,0.6711365580558777,0.7910263538360596,0.7572349905967712
3,0.8036028146743774,0.7203947901725769,0.7902376651763916,0.7575156092643738
4,0.8106327056884766,0.6680678725242615,0.7906671762466431,0.7562121748924255
5,0.8137082457542419,0.6704902052879333,0.7898941040039062,0.7575231790542603
6,0.8207381367683411,0.677457332611084,0.7906593680381775,0.7554822564125061
7,0.8075571060180664,0.6980911493301392,0.7903626561164856,0.7573590278625488
8,0.7992091178894043,0.7129626870155334,0.7908623814582825,0.75813227891922
9,0.8128295540809631,0.6710590720176697,0.7908623814582825,0.7580077648162842
10,0.8040421605110168,0.7088651061058044,0.7906437516212463,0.7552902102470398
11,0.8079965114593506,0.7018761038780212,0.7907686829566956,0.7552799582481384
12,0.7978910207748413,0.7421671748161316,0.7909795045852661,0.7548423409461975
13,0.7987697720527649,0.730147123336792,0.7905890941619873,0.7560046315193176
14,0.8049209117889404,0.7161356210708618,0.7910575866699219,0.7552428841590881
15,0.8145869970321655,0.6699563264846802,0.7912059426307678,0.7549028396606445
16,0.809753954410553,0.7174401879310608,0.7905890941619873,0.757319450378418
17,0.8119508028030396,0.6752916574478149,0.7910497784614563,0.7551166415214539
